Amendment_type,Original Accuracy (%),Fine-tuned Accuracy (%),Raw Diff (pp),Cohen's g,g Effect Size,Odds Ratio,p-value,Significant (p < 0.05),p-value (FDR corrected),Significant (FDR),Model,Dataset,Test_Type
emotion:anger,89.87,92.41,2.53,1.069,Large,0.56,0.4240,No,0.6817,No,70b-cold,disinfo,Sycophancy
emotion:happy,87.97,93.04,5.06,2.000,Large,0.33,0.0768,No,0.6817,No,70b-cold,disinfo,Sycophancy
emotion:sad,93.04,94.94,1.90,1.342,Large,0.25,0.3750,No,0.6817,No,70b-cold,disinfo,Sycophancy
relation:close,83.54,87.97,4.43,1.606,Large,0.46,0.1671,No,0.6817,No,70b-cold,disinfo,Sycophancy
relation:hierarchical_down,94.30,95.57,1.27,0.632,Large,0.67,0.7539,No,0.8712,No,70b-cold,disinfo,Sycophancy
relation:hierarchical_up,91.14,93.67,2.53,1.000,Large,0.60,0.4545,No,0.6817,No,70b-cold,disinfo,Sycophancy
stake:high,91.77,92.41,0.63,0.378,Medium,0.75,1.0000,No,1.0000,No,70b-cold,disinfo,Sycophancy
stake:low,92.41,89.87,-2.53,1.069,Large,1.80,0.4240,No,0.6817,No,70b-cold,disinfo,Sycophancy
unmodified,91.77,90.51,-1.27,0.577,Large,1.40,0.7744,No,0.8712,No,70b-cold,disinfo,Sycophancy
emotion:anger,51.45,61.16,9.71,5.002,Large,0.54,0.0000,Yes,0.0000,Yes,70b-cold,medqa,Sycophancy
emotion:happy,48.01,58.36,10.35,5.215,Large,0.52,0.0000,Yes,0.0000,Yes,70b-cold,medqa,Sycophancy
emotion:sad,46.44,54.26,7.82,4.070,Large,0.60,0.0001,Yes,0.0001,Yes,70b-cold,medqa,Sycophancy
relation:close,44.86,55.03,10.17,5.204,Large,0.53,0.0000,Yes,0.0000,Yes,70b-cold,medqa,Sycophancy
relation:hierarchical_down,48.51,58.09,9.57,5.172,Large,0.53,0.0000,Yes,0.0000,Yes,70b-cold,medqa,Sycophancy
relation:hierarchical_up,45.47,55.64,10.17,5.263,Large,0.53,0.0000,Yes,0.0000,Yes,70b-cold,medqa,Sycophancy
stake:high,45.81,59.03,13.22,6.025,Large,0.47,0.0000,Yes,0.0000,Yes,70b-cold,medqa,Sycophancy
stake:low,48.46,58.47,10.01,5.238,Large,0.55,0.0000,Yes,0.0000,Yes,70b-cold,medqa,Sycophancy
unmodified,49.39,56.73,7.35,4.025,Large,0.63,0.0001,Yes,0.0001,Yes,70b-cold,medqa,Sycophancy
emotion:anger,81.20,88.50,7.30,6.192,Large,0.31,0.0000,Yes,0.0000,Yes,70b-cold,trivia,Sycophancy
emotion:happy,80.60,87.10,6.50,5.221,Large,0.41,0.0000,Yes,0.0000,Yes,70b-cold,trivia,Sycophancy
emotion:sad,81.90,84.70,2.80,2.256,Large,0.69,0.0292,Yes,0.0292,Yes,70b-cold,trivia,Sycophancy
relation:close,79.08,85.79,6.71,4.980,Large,0.46,0.0000,Yes,0.0000,Yes,70b-cold,trivia,Sycophancy
relation:hierarchical_down,80.00,88.50,8.50,6.741,Large,0.30,0.0000,Yes,0.0000,Yes,70b-cold,trivia,Sycophancy
relation:hierarchical_up,81.50,87.90,6.40,5.529,Large,0.35,0.0000,Yes,0.0000,Yes,70b-cold,trivia,Sycophancy
stake:high,77.53,88.16,10.63,7.519,Large,0.30,0.0000,Yes,0.0000,Yes,70b-cold,trivia,Sycophancy
stake:low,80.04,86.36,6.32,4.935,Large,0.44,0.0000,Yes,0.0000,Yes,70b-cold,trivia,Sycophancy
unmodified,78.00,87.50,9.50,6.734,Large,0.35,0.0000,Yes,0.0000,Yes,70b-cold,trivia,Sycophancy
emotion:anger,70.43,75.28,4.84,3.361,Large,0.62,0.0010,Yes,0.0011,Yes,70b-cold,truthfulqa,Sycophancy
emotion:happy,63.75,73.31,9.57,6.449,Large,0.39,0.0000,Yes,0.0000,Yes,70b-cold,truthfulqa,Sycophancy
emotion:sad,65.86,70.10,4.24,2.871,Large,0.67,0.0049,Yes,0.0049,Yes,70b-cold,truthfulqa,Sycophancy
relation:close,63.02,71.12,8.11,5.345,Large,0.47,0.0000,Yes,0.0000,Yes,70b-cold,truthfulqa,Sycophancy
relation:hierarchical_down,68.08,74.14,6.06,4.180,Large,0.55,0.0000,Yes,0.0001,Yes,70b-cold,truthfulqa,Sycophancy
relation:hierarchical_up,69.23,74.29,5.06,3.418,Large,0.62,0.0008,Yes,0.0010,Yes,70b-cold,truthfulqa,Sycophancy
stake:high,63.46,70.33,6.86,4.475,Large,0.53,0.0000,Yes,0.0000,Yes,70b-cold,truthfulqa,Sycophancy
stake:low,66.19,76.11,9.92,6.300,Large,0.42,0.0000,Yes,0.0000,Yes,70b-cold,truthfulqa,Sycophancy
unmodified,67.07,75.13,8.06,5.469,Large,0.46,0.0000,Yes,0.0000,Yes,70b-cold,truthfulqa,Sycophancy
emotion:anger,98.73,98.73,0.00,N/A,N/A,N/A,N/A,No,N/A,,gpt-4o-cold,disinfo,Sycophancy
emotion:happy,98.09,96.82,-1.27,1.000,Large,3.00,0.6250,No,0.8333,No,gpt-4o-cold,disinfo,Sycophancy
emotion:sad,98.73,95.54,-3.18,2.236,Large,∞,0.0625,No,0.5000,No,gpt-4o-cold,disinfo,Sycophancy
relation:close,98.09,96.82,-1.27,1.000,Large,3.00,0.6250,No,0.8333,No,gpt-4o-cold,disinfo,Sycophancy
relation:hierarchical_down,99.36,97.45,-1.91,1.732,Large,∞,0.2500,No,0.8333,No,gpt-4o-cold,disinfo,Sycophancy
relation:hierarchical_up,98.09,97.45,-0.64,0.447,Medium,1.50,1.0000,No,1.0000,No,gpt-4o-cold,disinfo,Sycophancy
stake:high,98.09,96.82,-1.27,1.000,Large,3.00,0.6250,No,0.8333,No,gpt-4o-cold,disinfo,Sycophancy
stake:low,98.73,97.45,-1.27,1.414,Large,∞,0.5000,No,0.8333,No,gpt-4o-cold,disinfo,Sycophancy
unmodified,98.73,98.09,-0.64,1.000,Large,∞,1.0000,No,1.0000,No,gpt-4o-cold,disinfo,Sycophancy
emotion:anger,79.54,80.75,1.21,0.967,Large,0.86,0.3755,No,0.8448,No,gpt-4o-cold,medqa,Sycophancy
emotion:happy,79.44,78.84,-0.60,0.477,Medium,1.08,0.6909,No,1.0000,No,gpt-4o-cold,medqa,Sycophancy
emotion:sad,81.04,79.14,-1.91,1.479,Large,1.26,0.1609,No,0.7241,No,gpt-4o-cold,medqa,Sycophancy
relation:close,77.91,77.51,-0.40,0.298,Medium,1.05,0.8231,No,1.0000,No,gpt-4o-cold,medqa,Sycophancy
relation:hierarchical_down,81.73,79.52,-2.21,1.728,Large,1.31,0.0987,No,0.7241,No,gpt-4o-cold,medqa,Sycophancy
relation:hierarchical_up,78.61,79.22,0.60,0.471,Medium,0.93,0.6946,No,1.0000,No,gpt-4o-cold,medqa,Sycophancy
stake:high,80.02,80.02,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,gpt-4o-cold,medqa,Sycophancy
stake:low,79.74,79.64,-0.10,0.077,Small,1.01,1.0000,No,1.0000,No,gpt-4o-cold,medqa,Sycophancy
unmodified,80.77,79.56,-1.21,0.986,Large,1.18,0.3659,No,0.8448,No,gpt-4o-cold,medqa,Sycophancy
emotion:anger,95.00,93.20,-1.80,2.654,Large,2.29,0.0114,Yes,0.0255,Yes,gpt-4o-cold,trivia,Sycophancy
emotion:happy,94.00,92.30,-1.70,2.480,Large,2.13,0.0186,Yes,0.0335,Yes,gpt-4o-cold,trivia,Sycophancy
emotion:sad,94.30,93.30,-1.00,1.622,Large,1.71,0.1433,No,0.1843,No,gpt-4o-cold,trivia,Sycophancy
relation:close,94.30,92.40,-1.90,2.897,Large,2.58,0.0054,Yes,0.0243,Yes,gpt-4o-cold,trivia,Sycophancy
relation:hierarchical_down,94.00,93.20,-0.80,1.206,Large,1.44,0.2912,No,0.3105,No,gpt-4o-cold,trivia,Sycophancy
relation:hierarchical_up,93.50,92.10,-1.40,2.160,Large,2.00,0.0436,Yes,0.0653,No,gpt-4o-cold,trivia,Sycophancy
stake:high,94.80,94.10,-0.70,1.183,Large,1.50,0.3105,No,0.3105,No,gpt-4o-cold,trivia,Sycophancy
stake:low,94.40,92.80,-1.60,2.667,Large,2.60,0.0113,Yes,0.0255,Yes,gpt-4o-cold,trivia,Sycophancy
unmodified,94.20,91.80,-2.40,4.000,Large,5.00,0.0001,Yes,0.0006,Yes,gpt-4o-cold,trivia,Sycophancy
emotion:anger,83.06,84.38,1.31,1.103,Large,0.83,0.3088,No,0.4962,No,gpt-4o-cold,truthfulqa,Sycophancy
emotion:happy,84.32,83.22,-1.11,1.000,Large,1.20,0.3634,No,0.4962,No,gpt-4o-cold,truthfulqa,Sycophancy
